,minimum,maximum
R08280__cytop,0.0,1.3986661148915495e-16
TI3001536_PLAS__plas,0.0,0.0
R07051__chlo,0.0,0.0
TR0000020_PLAS__mitmem,0.03954002353234644,0.07544712347451422
R10546__cytop,0.0,0.0
R00127__chlo,0.03747855735816194,0.045411518532125016
EX_C00080__dra,-0.03536530477625906,-0.014382672918370596
R00143__cytop,0.0,0.0
R02356__chlo,0.0,0.0
T_Diphosphate_V1__permem,4.124576894374875e-33,5.128043737472246e-17
R08249__e_r_,0.0,0.0
R06982__cytop,0.007154637874611197,0.007154637874617735
R03472__chlo,1.05971374164569e-06,1.059713741725391e-06
TO1000275_PLAS__plas,0.0,0.0
EX_C00328__dra,0.0,4.725126015242268e-16
T__6Z_9Z_12Z__Hexadecatrienoyl_CoA__ermem,0.0003070233637566094,0.0003070233637566125
R06865__mito,0.0,0.0
RXN_12777__e_r_,0.0,0.0008682704508284646
R10633__mito,0.0,0.0
EX_C06232__dra,0.0,0.0
R08945__cytop,0.0,0.0
R11099__mito,0.0,1.1053406252362643e-15
R04847__e_r_,0.0,0.0
T_Tetrahydrofolate__chlomem,0.0,0.0
R00514__cytop,0.0,1.1053406252362702e-15
R03314__cytop,0.0014536841583332814,0.0014536841583343868
R00742__cytop,0.004979644306284086,0.004979644306285559
R02334__cytop,0.0,0.0
R02892__e_r_,0.0,0.0
TR2000137_PLAS__mitmem,-0.0150298012783681,0.0150298012783681
R09420__mito,0.0,0.0
R08954__e_r_,0.0,0.0
R00684__cytop,0.0,0.0
R03088__chlo,0.0,0.0
R07098__e_r_,0.0,0.0
R00239__cytop,0.0014536841583332816,0.001453684158334387
R06522__chlo,0.0,0.0
R05165__chlo,0.0,0.0
e_RNA__cytop,0.0007880738848073013,0.0007880738848073028
R07056__chlo,0.0,0.0
RXN_12997__e_r_,0.002772987567931222,0.0027729875679312335
R12427__mito,0.0,0.0
R07135__cytop,0.0,0.0
TI2000430_PLAS__plas,0.0,0.0
R06960__cytop,0.0,0.0
R08162__cytop,0.0,0.0
R06286__chlo,0.0,0.0010059988303532214
EX_C03855__dra,0.0,0.0
R00357__cytop,0.0,0.0435618953619283
R07396__cytop,9.491643746425303e-05,9.491643746423108e-05
R03777__mito,0.0,0.0
R04543__mito,0.0,0.0
TO1000588_PLAS__plas,0.0,0.0
R08258__cytop,0.0,0.0
R01082__chlo,0.0,0.0
R00569__golg,0.0,0.0
TI3000282_PLAS__ermem,0.0,3.5790221956996234e-05
R04137__chlo,0.0,0.0
R02208__e_r_,0.0,0.0
TR2000106_PLAS__chlomem,0.057392428613561794,0.155538074411936
TO1000085_PLAS__plas,3.224842087192747e-16,0.0
R03552__nucl,0.0,0.0
R07009__cytop,0.0,0.0
TR2900003_PLAS__mitmem,3.8199423322636815e-18,3.8199423322636815e-18
R05615__cytop,0.0,2.5023500702868284e-16
R09381__e_r_,0.0,0.0011618647997212765
R05046__cytop,1.9638217829115444e-06,1.963821783001744e-06
R04957__chlo,0.010045529526745181,0.010045529526745008
R07606__chlo,0.0,0.0
EX_C08334__dra,0.0,0.0
R05002__cytop,1.3777451398176689e-18,0.0
R07897__mito,0.0,0.0
R02035__chlo,0.0,0.00697779912201258
R00959__cytop,-0.006699515914026895,-0.006699515914028628
R00465__chlo,0.006533423527068614,0.007628934392569131
R03968__mito,0.0,0.0
R01899__mito,0.0,0.07294534082391547
R04681__cytop,0.0,0.0
RXN_13298__e_r_,0.0,0.0
EX_C00378__dra,0.0,0.0
R07080__chlo,0.0,0.0
R07889__mito,0.0,0.0
R02372__cytop,0.0,-1.2605563493182177e-15
R10991__cytop,0.0,0.0
R04737__pero,0.0,-3.0253352383637333e-17
EX_C11004__dra,0.0,0.0
R04536__cytop,0.0,-1.4544880953671752e-16
R02078__cytop,0.0,0.0
R00706__mito,0.0,0.0
R01492__mito,0.0,0.0
R04738__chlo,0.0,0.0
T_H2O_V2__mitmem,-0.08142257554638711,0.3365615793894624
R07267__chlo,0.0,0.0
R05731__e_r_,0.0,0.0
R03654__chlo,0.0,0.0
EX_C00088__dra,0.0,0.0
R01401__cytop,9.491643746425355e-05,9.491643746425476e-05
R04429__mito,0.0,0.0
R11043__e_r_,0.004270753321421189,0.004270753321422012
R01827__chlo,0.017025372588844664,0.0267401191559781
R07083__cytop,0.0,0.0
T_UMP__chlomem,0.00039179553745357694,0.0003917955374585488
R02241__e_r_,0.0,0.0011618647997212227
R00710__mito,0.0,6.95482343793837e-17
R08312__chlo,0.0,0.0
RXN_21837__e_r_,0.0,4.3967274607655456e-18
R06366__mito,0.0,0.0
R07048__chlo,0.0,0.0
R07113__cytop,0.0,0.0
T_ADP__chlomem,0.005383216468268679,0.01331617764221768
R01049__chlo,0.000299432254686556,0.00029943225468659
R00885__cytop,4.892096574013532e-05,4.892096574013527e-05
R09653__chlo,0.0,0.00021056187912764073
T_AKGICITtm__mitmem,-0.0204942514427023,0.0204942514427023
R07136__mito,0.0,0.0
R00115__mito,0.0,0.0
R11262__cytop,0.0,0.0
T_SAMT1_V1__mitmem,3.410952646375589e-06,3.41095264641993e-06
T_CMP__chlomem,-0.013703652852186735,-0.005770691678249725
R12423__mito,0.0,0.0
R07898__mito,0.0,0.0
T_alpha_D_Glucose__ermem,0.0,0.0
R01519__cytop,0.0,0.0
R00192__cytop,0.001661359268576917,0.0016613592685770038
R03674__cytop,0.0,0.0
R00187__cytop,0.0,0.0
R01101__cytop,0.0,0.0
R00274__chlo,0.0,0.023802626968754403
R02568__chlo,0.0,0.0
R10633__nucl,0.0,0.0
R09366__mito,0.0,0.0
R00335__cytop,0.0,8.141283988588636e-17
R02133__cytop,0.0,0.0
R09735__cytop,0.0,0.0
R10953__cytop,0.0,0.0
R04929__cytop,0.0,8.00782031664456e-18
R00156__mito,0.0,0.0380088662765268
TO3000773_PLAS__plas,2.3570845616099732e-15,0.0
R01281__e_r_,0.0,2.0353209971471525e-17
TZ3101427_PLAS__plas,0.0,8.141283988588637e-17
R06272__chlo,0.0,0.0010059988303532258
EX_C05684__dra,0.0,0.0
EX_G00012__dra,0.0,0.0
R07762__chlo,0.005305442721074862,0.005305442721070672
R00287__chlo,0.0,8.141283988588689e-17
DEDOLP2__chlo,0.0,0.0
R02906__cytop,0.0,0.0
R00330__mito,0.0,0.136109272193908
