,flux_wt,flux_nd,ratio,ratio_100
R00965__cytop,0.6341945880000001,0.628429177581779,0.9909090829103369,99.09090829103368
R04866__cytop,0.009183802846363453,0.05949358076799311,6.478098644239845,647.8098644239844
R10092__cytop,-11.496523100944277,-14.465844007220989,1.258279906038098,125.82799060380981
R00943__cytop,0.7094332372999846,0.7029838385590487,0.9909090829103503,99.09090829103503
R00206__mito,-2.1531085676345327,0.0,-0.0,-0.0
T_Glycine_V1__mitmem,0.11753405206285428,0.23639129037615433,2.0112578969857875,201.12578969857876
R02093__mito,0.0,7.442081942199098,inf,inf
R02283__chlo,-0.16586550000000003,-0.16435763049146454,0.9909090829103371,99.09090829103371
PKS_C82__cytop,0.0,0.26847603226566974,inf,inf
RXN_16380__e_r_,0.33690648113230903,0.018661230407070878,0.05538994187452953,5.538994187452953
R01466__chlo,0.19404100000000005,0.19227698935700477,0.9909090829103371,99.09090829103371
R12657__mito,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369,99.09090829103368
R03648__cytop,0.05809300000000001,0.05756488135351021,0.9909090829103369,99.09090829103368
R02094__mito,0.0,2.3456491889583315,inf,inf
R00129__mito,0.0,1.5431784989602033,inf,inf
T_CO2_V1__chlomem,49.646927971474504,99.58842763571194,2.0059333317246173,200.59333317246174
R03659__cytop,0.050598000000000004,0.050138017777097234,0.990909082910337,99.0909082910337
PKS_C163__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798,385.829090063798
T_Diphosphate__ermem,-0.74538752211329,-0.19844917920058827,0.2662362506927321,26.62362506927321
R01827__cytop,-1.3536799729999847,0.0,-0.0,-0.0
R03197__chlo,0.09836413160000002,0.09746991143502773,0.9909090829103372,99.09090829103371
R01071__cytop,-0.05559675000000001,-0.055091324555295286,0.990909082910337,99.0909082910337
R09737__mito,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369,99.09090829103368
R02093__cytop,0.23840211600000003,0.23623482212944383,0.9909090829103371,99.09090829103371
T_OAAICITtm__mitmem,0.22675900117778278,0.0,0.0,0.0
T_CO__plas,0.00010354100000000004,0.00010259971735361923,0.9909090829103367,99.09090829103367
T_L_Threonine__chlomem,-0.11611900000000003,-0.11506337179846543,0.9909090829103369,99.09090829103368
R01626__cytop,0.14659989247150407,2.981909321548338,20.340460496094554,2034.0460496094554
R12173__e_r_,0.03592140054213302,0.035594842068059906,0.9909090829103369,99.09090829103368
e_Lipid__cytop,0.10000000000000003,0.09909090829103372,0.9909090829103369,99.09090829103368
R00362__mito,1.9023343418993757,1.279903009470548,0.6728065520767688,67.28065520767687
TZ2900003_PLAS__plas,-0.2735067125104947,0.0,-0.0,-0.0
TZ2900023_PLAS__chlomem,0.5255535183000001,0.5207757548389542,0.9909090829103372,99.09090829103371
T_OAACITtm__mitmem,0.22675900117778278,-0.3509285697244902,-1.5475838573188831,-154.75838573188832
T_Hydrogen_Peroxide_V2__chlomem,12.650500191047517,27.02238483211013,2.1360724417231567,213.60724417231566
R00127__chlo,13.287085138626544,4.010311713860289,0.3018202767589721,30.18202767589721
EX_C00080__dra,-3.2084643458903757,-1.3925064083067593,0.4340102485758891,43.40102485758891
R06982__cytop,0.6990551608999774,0.6927001083911513,0.9909090829103606,99.09090829103606
R03472__chlo,0.00010354100000000004,0.00010259971735361923,0.9909090829103367,99.09090829103367
T__6Z_9Z_12Z__Hexadecatrienoyl_CoA__ermem,0.029998201266420017,0.02972549010586796,0.9909090829103367,99.09090829103367
RXN_12777__e_r_,0.06854685483803181,0.021217271491317812,0.3095294677115637,30.95294677115637
R03314__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337,99.0909082910337
R00742__cytop,0.6168550045847929,3.132706921588122,5.07851423479454,507.85142347945396
TR2000137_PLAS__mitmem,0.22675900117778278,-0.3509285697244902,-1.5475838573188831,-154.75838573188832
R00239__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337,99.0909082910337
e_RNA__cytop,0.077,0.07629999938409596,0.9909090829103371,99.09090829103371
RXN_12997__e_r_,0.2709391173175501,0.0,0.0,0.0
R06286__chlo,0.0,0.09739912921378091,inf,inf
R00357__cytop,3.1178910707082936,99.58842763571194,31.940957967171176,3194.0957967171175
R07396__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367,99.09090829103367
TI3000282_PLAS__ermem,0.0034969400000000013,0.0034651496083924747,0.9909090829103369,99.09090829103368
TR2000106_PLAS__chlomem,10.916495894771382,0.0,0.0,0.0
R05046__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641,99.09090828726642
R04957__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R00959__cytop,-0.6545867530000001,-0.548726050033887,0.838278574259334,83.8278574259334
R00465__chlo,0.5400476185369789,0.9683073205388925,1.7930035932055297,179.30035932055296
R01899__mito,0.0,9.37611899409041,inf,inf
T_H2O_V2__mitmem,-14.82822699446382,24.563319365044578,-1.6565243689765063,-165.65243689765063
R01401__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367,99.09090829103367
R11043__e_r_,0.4009918020522969,0.08216395698791087,0.20490183731286143,20.490183731286145
T_UMP__chlomem,0.03828100000000001,0.03793299060289062,0.990909082910337,99.0909082910337
R02241__e_r_,0.11352183000000005,0.0,0.0,0.0
T_ADP__chlomem,0.5259756427000093,0.521194041741044,0.9909090829103422,99.09090829103422
R01049__chlo,0.029256500000000005,0.02899053158416628,0.9909090829103371,99.09090829103371
R00885__cytop,0.004779899999999999,0.00473644632540312,0.9909090829103373,99.09090829103373
T_SAMT1_V1__mitmem,0.0003332725000000001,0.00033024274733423536,0.990909082910337,99.0909082910337
T_CMP__chlomem,-0.5638345183000001,-0.5587087454418448,0.9909090829103372,99.09090829103371
R00192__cytop,0.1898771322390904,0.33933077630830316,1.7871071271553807,178.71071271553808
R00274__chlo,4.95643201663588,13.745566848078425,2.773278600804469,277.3278600804469
R06272__chlo,0.0,0.09739912921378091,inf,inf
R07762__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304,36.3165315022853
T_5_Deoxyadenosine_V1__mitmem,0.00036050000000000014,0.0003572227243891766,0.990909082910337,99.0909082910337
ATPase__chlo,254.18597523955268,364.49554272914116,1.4339718876528469,143.39718876528468
R05633__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371,99.09090829103371
R01700__mito,0.6651749099475975,1.4782302020955598,2.222318039945335,222.2318039945335
R00127__cytop,-17.016917106851626,-11.412435679102538,0.6706523636121774,67.06523636121774
R02570__mito,0.6651749099475975,17.471507788213263,26.2660354846963,2626.60354846963
R00833__mito,0.09975244107443426,0.0001786113621945883,0.0017905462790761212,0.17905462790761212
R03652__cytop,0.08235850000000002,0.08160978570487101,0.9909090829103371,99.09090829103371
R05069__chlo,0.07792200000000002,0.0772136175585393,0.990909082910337,99.0909082910337
R01395__cytop,0.21883689582213658,0.33890372896053206,1.5486590032605005,154.86590032605005
R00275__mito,26.59527679781928,21.526578872620515,0.8094136051400532,80.94136051400532
R04638__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641,99.09090828726642
R04035__cytop,0.05559675000000001,0.055091324555295286,0.990909082910337,99.0909082910337
R05070__chlo,0.07792200000000002,0.0772136175585393,0.990909082910337,99.0909082910337
DM_photon450__chlo,647.6888399368397,997.1469967865171,1.5395463613110199,153.95463613110198
R01716__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641,99.09090828726642
R00289__cytop,0.6545867530000001,0.548726050033887,0.838278574259334,83.8278574259334
R02094__cytop,0.23840211600000003,0.23623482212944383,0.9909090829103371,99.09090829103371
R08409__chlo,254.18597523955268,364.49554272914116,1.4339718876528469,143.39718876528468
R00366__cytop,0.7857198263441159,0.9197259896317898,1.1705520960457274,117.05520960457274
R05692__cytop,0.00195762,0.0019398234388869342,0.9909090829103371,99.09090829103371
R02569__mito,0.05739322744459195,0.0,0.0,0.0
R01070__cytop,-10.803312671471382,-3.402764550491511,0.3149741800473191,31.49741800473191
R02661__mito,0.09957219107443427,0.0,0.0,0.0
R00619__cytop,0.00010354100000000004,0.00010259971735361923,0.9909090829103367,99.09090829103367
