,flux_wt,flux_nd,ratio
R04957__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441
R07606__chlo,0.0,0.0,
EX_C08334__dra,0.0,0.0,
R05002__cytop,0.0,0.0,
R07897__mito,0.0,0.0,
R02035__chlo,0.0,0.0,
R00959__cytop,-0.6545867530000001,-0.548726050033887,0.838278574259334
R00465__chlo,0.5400476185369789,0.9683073205388925,1.7930035932055297
R03968__mito,0.0,0.0,
R01899__mito,0.0,9.37611899409041,inf
R04681__cytop,0.0,0.0,
RXN_13298__e_r_,0.0,0.0,
EX_C00378__dra,0.0,0.0,
R07080__chlo,0.0,0.0,
R07889__mito,0.0,0.0,
R02372__cytop,0.0,0.0,
R10991__cytop,0.0,0.0,
R04737__pero,0.0,0.0,
EX_C11004__dra,0.0,0.0,
R04536__cytop,0.0,0.0,
R02078__cytop,0.0,0.0,
R00706__mito,0.0,0.0,
R01492__mito,0.0,0.0,
R04738__chlo,0.0,0.0,
T_H2O_V2__mitmem,-14.82822699446382,24.563319365044578,-1.6565243689765063
R07267__chlo,0.0,0.0,
R05731__e_r_,0.0,0.0,
R03654__chlo,0.0,0.0,
EX_C00088__dra,0.0,0.0,
R01401__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367
R04429__mito,0.0,0.0,
R11043__e_r_,0.4009918020522969,0.08216395698791087,0.20490183731286143
R01827__chlo,0.0,0.0,
R07083__cytop,0.0,0.0,
T_UMP__chlomem,0.03828100000000001,0.03793299060289062,0.990909082910337
R02241__e_r_,0.11352183000000005,0.0,0.0
R00710__mito,0.0,0.0,
R08312__chlo,0.0,0.0,
RXN_21837__e_r_,0.0,0.0,
R06366__mito,0.0,0.0,
R07048__chlo,0.0,0.0,
R07113__cytop,0.0,0.0,
T_ADP__chlomem,0.5259756427000093,0.521194041741044,0.9909090829103422
R01049__chlo,0.029256500000000005,0.02899053158416628,0.9909090829103371
R00885__cytop,0.004779899999999999,0.00473644632540312,0.9909090829103373
R09653__chlo,0.0,0.0,
T_AKGICITtm__mitmem,0.0,0.0,
R07136__mito,0.0,0.0,
R00115__mito,0.0,0.0,
R11262__cytop,0.0,0.0,
T_SAMT1_V1__mitmem,0.0003332725000000001,0.00033024274733423536,0.990909082910337
T_CMP__chlomem,-0.5638345183000001,-0.5587087454418448,0.9909090829103372
R12423__mito,0.0,0.0,
R07898__mito,0.0,0.0,
T_alpha_D_Glucose__ermem,0.0,0.0,
R01519__cytop,0.0,0.0,
R00192__cytop,0.1898771322390904,0.33933077630830316,1.7871071271553807
R03674__cytop,0.0,0.0,
R00187__cytop,0.0,0.0,
R01101__cytop,0.0,0.0,
R00274__chlo,4.95643201663588,13.745566848078425,2.773278600804469
R02568__chlo,0.0,0.0,
R10633__nucl,0.0,0.0,
R09366__mito,0.0,0.0,
R00335__cytop,0.0,0.0,
R02133__cytop,0.0,0.0,
R09735__cytop,0.0,0.0,
R10953__cytop,0.0,0.0,
R04929__cytop,0.0,0.0,
R00156__mito,0.0,0.0,
TO3000773_PLAS__plas,0.0,0.0,
R01281__e_r_,0.0,0.0,
TZ3101427_PLAS__plas,0.0,0.0,
R06272__chlo,0.0,0.09739912921378091,inf
EX_C05684__dra,0.0,0.0,
EX_G00012__dra,0.0,0.0,
R07762__chlo,0.5020877593081691,0.18234085927826962,0.36316531502285304
R00287__chlo,0.0,0.0,
DEDOLP2__chlo,0.0,0.0,
R02906__cytop,0.0,0.0,
