	fluxes	reduced_costs
R07945__chlo	0.0	-2.0
R00362__mito	0.019101955134529797	-2.0
R01054__cytop	0.0	-2.0
R04956__cytop	0.0	36.0
R04170__chlo	0.0	-2.0
T_Ammonia_V4__ermem	0.0	-2.0
R12017__chlo	0.0	-2.0
R12169__e_r_	0.0	-2.0
EX_C00159__dra	0.0	1458.1756806025987
R05575__mito	0.0	-2.0
R07896__pero	0.0	2.0
R03659__chlo	0.0	-2.0
TZ2900003_PLAS__plas	-0.0027463704268027023	2.0
TO3000696_PLAS__plas	0.0	4461.527041807763
R11319__chlo	0.0	-2.0
R02558__extr	0.0	-2.0
R01939__cytop	0.0	-2.0
R01843__cytop	0.0	3.999999999998181
R03083__cytop	0.0	-2.0
R07627__cytop	0.0	-2.0
R07043__chlo	0.0	-2.0
R07943__e_r_	0.0	-2.0
TZ2900023_PLAS__chlomem	0.005277254629998859	-2.0
T_OAACITtm__mitmem	0.0	-2.0
R00926__mito	0.0	0.0
T_Hydrogen_Peroxide_V2__chlomem	0.12702781343982067	-2.0
R08280__cytop	0.0	-2.0
TI3001536_PLAS__plas	0.0	-2.0
R07051__chlo	0.0	-2.0
TR0000020_PLAS__mitmem	0.0	509.05856020086503
R10546__cytop	0.0	-2.0
R00127__chlo	0.13341996861878774	-2.0
EX_C00080__dra	-0.0322172399808098	2.0
R00143__cytop	0.0	-2.0
R02356__chlo	0.0	-2.0
T_Diphosphate_V1__permem	0.0	2.0
R08249__e_r_	0.0	-2.0
R06982__cytop	0.007019441324296208	-2.0
R03472__chlo	1.0396890185650262e-06	-2.000000000003638
TO1000275_PLAS__plas	0.0	-2.0
EX_C00328__dra	0.0	8398.524803515113
T__6Z_9Z_12Z__Hexadecatrienoyl_CoA__ermem	0.00030122174243440015	-2.0
R06865__mito	0.0	-2.0
RXN_12777__e_r_	0.0	-2.0
R10633__mito	0.0	-2.0
EX_C06232__dra	-0.0	-2.0
R08945__cytop	0.0	-2.0
R11099__mito	0.0	6907.486509478745
R04847__e_r_	0.0	-2.0
T_Tetrahydrofolate__chlomem	0.0	-2.0
R00514__cytop	0.0	2231.7635209038817
R03314__cytop	0.0014262148318769782	-2.0
R00742__cytop	0.006194038888234998	-2.0
R02334__cytop	0.0	-2.0
R02892__e_r_	0.0	-2.0
TR2000137_PLAS__mitmem	0.0	-2.0
R09420__mito	0.0	-2.0
R08954__e_r_	0.0	-2.0
R00684__cytop	0.0	-2.0
R03088__chlo	0.0	2.0
R07098__e_r_	0.0	-2.0
R00239__cytop	0.0014262148318769782	-2.0
R06522__chlo	0.0	-2.0
